|   Unnamed: 0 | group      |     mean |        sd |   iteration_times | dataset_name   |   missing_rate |
|-------------:|:-----------|---------:|----------:|------------------:|:---------------|---------------:|
|            1 | impDi      | 0.953333 | 0.0548848 |                10 | iris           |            0.3 |
|            5 | missForest | 0.933333 | 0.0444444 |                10 | iris           |            0.3 |
|            6 | softImpute | 0.933333 | 0.0888889 |                10 | iris           |            0.3 |
|            4 | mice       | 0.92     | 0.0525874 |                10 | iris           |            0.3 |
|            2 | imputePCA  | 0.873333 | 0.110889  |                10 | iris           |            0.3 |
|            3 | kNNimpute  | 0.873333 | 0.0798146 |                10 | iris           |            0.3 |
|           51 | missForest | 0.940317 | 0.0451642 |                10 | ionosphere     |            0.3 |
|           21 | imputePCA  | 0.926032 | 0.044772  |                10 | ionosphere     |            0.3 |
|           41 | mice       | 0.91754  | 0.0524537 |                10 | ionosphere     |            0.3 |
|           61 | softImpute | 0.914762 | 0.0392965 |                10 | ionosphere     |            0.3 |
|           31 | kNNimpute  | 0.911825 | 0.0470341 |                10 | ionosphere     |            0.3 |
|           11 | impDi      | 0.857619 | 0.0482733 |                10 | ionosphere     |            0.3 |
|           52 | missForest | 0.909524 | 0.052405  |                10 | seeds          |            0.3 |
|           42 | mice       | 0.9      | 0.0612707 |                10 | seeds          |            0.3 |
|           62 | softImpute | 0.9      | 0.0612707 |                10 | seeds          |            0.3 |
|           12 | impDi      | 0.890476 | 0.0504452 |                10 | seeds          |            0.3 |
|           22 | imputePCA  | 0.890476 | 0.0552144 |                10 | seeds          |            0.3 |
|           32 | kNNimpute  | 0.780952 | 0.081557  |                10 | seeds          |            0.3 |
|           23 | imputePCA  | 0.944118 | 0.0453727 |                10 | wine           |            0.3 |
|           13 | impDi      | 0.938235 | 0.0559376 |                10 | wine           |            0.3 |
|           53 | missForest | 0.93268  | 0.0572533 |                10 | wine           |            0.3 |
|           63 | softImpute | 0.89902  | 0.0936369 |                10 | wine           |            0.3 |
|           43 | mice       | 0.882353 | 0.0883495 |                10 | wine           |            0.3 |
|           33 | kNNimpute  | 0.866013 | 0.0829748 |                10 | wine           |            0.3 ||   Unnamed: 0 | group      |     mean |        sd |   iteration_times | dataset_name   |   missing_rate |
|-------------:|:-----------|---------:|----------:|------------------:|:---------------|---------------:|
|            5 | missForest | 0.966667 | 0.0351364 |                10 | iris           |            0.2 |
|            1 | impDi      | 0.96     | 0.0466137 |                10 | iris           |            0.2 |
|            4 | mice       | 0.953333 | 0.0322031 |                10 | iris           |            0.2 |
|            2 | imputePCA  | 0.946667 | 0.0421637 |                10 | iris           |            0.2 |
|            6 | softImpute | 0.92     | 0.0819515 |                10 | iris           |            0.2 |
|            3 | kNNimpute  | 0.9      | 0.0647884 |                10 | iris           |            0.2 |
|           21 | imputePCA  | 0.946032 | 0.0451196 |                10 | ionosphere     |            0.2 |
|           51 | missForest | 0.940317 | 0.0431092 |                10 | ionosphere     |            0.2 |
|           61 | softImpute | 0.929127 | 0.0593113 |                10 | ionosphere     |            0.2 |
|           11 | impDi      | 0.925952 | 0.0450141 |                10 | ionosphere     |            0.2 |
|           41 | mice       | 0.923175 | 0.050235  |                10 | ionosphere     |            0.2 |
|           31 | kNNimpute  | 0.920397 | 0.0594809 |                10 | ionosphere     |            0.2 |
|           52 | missForest | 0.919048 | 0.0552144 |                10 | seeds          |            0.2 |
|           22 | imputePCA  | 0.914286 | 0.0437589 |                10 | seeds          |            0.2 |
|           42 | mice       | 0.904762 | 0.0839921 |                10 | seeds          |            0.2 |
|           62 | softImpute | 0.9      | 0.0612707 |                10 | seeds          |            0.2 |
|           12 | impDi      | 0.890476 | 0.0810923 |                10 | seeds          |            0.2 |
|           32 | kNNimpute  | 0.87619  | 0.0875178 |                10 | seeds          |            0.2 |
|           53 | missForest | 0.949673 | 0.0486966 |                10 | wine           |            0.2 |
|           13 | impDi      | 0.944118 | 0.0453727 |                10 | wine           |            0.2 |
|           23 | imputePCA  | 0.938562 | 0.0409563 |                10 | wine           |            0.2 |
|           63 | softImpute | 0.927124 | 0.0454928 |                10 | wine           |            0.2 |
|           43 | mice       | 0.921242 | 0.04897   |                10 | wine           |            0.2 |
|           33 | kNNimpute  | 0.887908 | 0.0690334 |                10 | wine           |            0.2 ||   Unnamed: 0 | group      |     mean |        sd |   iteration_times | dataset_name   |   missing_rate |
|-------------:|:-----------|---------:|----------:|------------------:|:---------------|---------------:|
|            1 | impDi      | 0.953333 | 0.0548848 |                10 | iris           |            0.1 |
|            6 | softImpute | 0.94     | 0.058373  |                10 | iris           |            0.1 |
|            2 | imputePCA  | 0.933333 | 0.0544331 |                10 | iris           |            0.1 |
|            5 | missForest | 0.933333 | 0.0702728 |                10 | iris           |            0.1 |
|            4 | mice       | 0.926667 | 0.058373  |                10 | iris           |            0.1 |
|            3 | kNNimpute  | 0.906667 | 0.0782525 |                10 | iris           |            0.1 |
|           21 | imputePCA  | 0.951587 | 0.040484  |                10 | ionosphere     |            0.1 |
|           51 | missForest | 0.94873  | 0.0399325 |                10 | ionosphere     |            0.1 |
|           41 | mice       | 0.946032 | 0.0409019 |                10 | ionosphere     |            0.1 |
|           61 | softImpute | 0.943175 | 0.0421278 |                10 | ionosphere     |            0.1 |
|           11 | impDi      | 0.943095 | 0.0402256 |                10 | ionosphere     |            0.1 |
|           31 | kNNimpute  | 0.926111 | 0.0569447 |                10 | ionosphere     |            0.1 |
|           22 | imputePCA  | 0.928571 | 0.0561196 |                10 | seeds          |            0.1 |
|           12 | impDi      | 0.92381  | 0.0751248 |                10 | seeds          |            0.1 |
|           42 | mice       | 0.92381  | 0.0680877 |                10 | seeds          |            0.1 |
|           32 | kNNimpute  | 0.919048 | 0.0746201 |                10 | seeds          |            0.1 |
|           52 | missForest | 0.919048 | 0.0675303 |                10 | seeds          |            0.1 |
|           62 | softImpute | 0.909524 | 0.0725659 |                10 | seeds          |            0.1 |
|           23 | imputePCA  | 0.977451 | 0.0291259 |                10 | wine           |            0.1 |
|           13 | impDi      | 0.971569 | 0.029993  |                10 | wine           |            0.1 |
|           63 | softImpute | 0.971569 | 0.029993  |                10 | wine           |            0.1 |
|           53 | missForest | 0.966013 | 0.0392822 |                10 | wine           |            0.1 |
|           43 | mice       | 0.960458 | 0.0460219 |                10 | wine           |            0.1 |
|           33 | kNNimpute  | 0.949673 | 0.0486966 |                10 | wine           |            0.1 ||   Unnamed: 0 | group      |     mean |        sd |   iteration_times | dataset_name   |   missing_rate |
|-------------:|:-----------|---------:|----------:|------------------:|:---------------|---------------:|
|            1 | impDi      | 0.94     | 0.049191  |                10 | iris           |            0.4 |
|            5 | missForest | 0.926667 | 0.049191  |                10 | iris           |            0.4 |
|            3 | kNNimpute  | 0.893333 | 0.0843274 |                10 | iris           |            0.4 |
|            4 | mice       | 0.88     | 0.0612624 |                10 | iris           |            0.4 |
|            6 | softImpute | 0.866667 | 0.133333  |                10 | iris           |            0.4 |
|            2 | imputePCA  | 0.833333 | 0.122726  |                10 | iris           |            0.4 |
|           51 | missForest | 0.931667 | 0.0274482 |                10 | ionosphere     |            0.4 |
|           21 | imputePCA  | 0.923175 | 0.0444898 |                10 | ionosphere     |            0.4 |
|           41 | mice       | 0.917381 | 0.0638092 |                10 | ionosphere     |            0.4 |
|           61 | softImpute | 0.897619 | 0.0324719 |                10 | ionosphere     |            0.4 |
|           31 | kNNimpute  | 0.880476 | 0.0343716 |                10 | ionosphere     |            0.4 |
|           11 | impDi      | 0.829286 | 0.0716228 |                10 | ionosphere     |            0.4 |
|           52 | missForest | 0.904762 | 0.0777616 |                10 | seeds          |            0.4 |
|           12 | impDi      | 0.9      | 0.0759586 |                10 | seeds          |            0.4 |
|           62 | softImpute | 0.87619  | 0.119206  |                10 | seeds          |            0.4 |
|           22 | imputePCA  | 0.871429 | 0.0746201 |                10 | seeds          |            0.4 |
|           42 | mice       | 0.857143 | 0.116642  |                10 | seeds          |            0.4 |
|           32 | kNNimpute  | 0.728571 | 0.0810923 |                10 | seeds          |            0.4 |
|           23 | imputePCA  | 0.938562 | 0.0664899 |                10 | wine           |            0.4 |
|           53 | missForest | 0.921242 | 0.0705366 |                10 | wine           |            0.4 |
|           13 | impDi      | 0.893464 | 0.0759752 |                10 | wine           |            0.4 |
|           43 | mice       | 0.887582 | 0.0741253 |                10 | wine           |            0.4 |
|           63 | softImpute | 0.865359 | 0.128935  |                10 | wine           |            0.4 |
|           33 | kNNimpute  | 0.793137 | 0.0770739 |                10 | wine           |            0.4 ||   Unnamed: 0 | group      |     mean |        sd |   iteration_times | dataset_name   |   missing_rate |
|-------------:|:-----------|---------:|----------:|------------------:|:---------------|---------------:|
|            1 | impDi      | 0.953333 | 0.0548848 |                10 | iris           |            0.3 |
|            5 | missForest | 0.933333 | 0.0444444 |                10 | iris           |            0.3 |
|            6 | softImpute | 0.933333 | 0.0888889 |                10 | iris           |            0.3 |
|            4 | mice       | 0.92     | 0.0525874 |                10 | iris           |            0.3 |
|            2 | imputePCA  | 0.873333 | 0.110889  |                10 | iris           |            0.3 |
|            3 | kNNimpute  | 0.873333 | 0.0798146 |                10 | iris           |            0.3 |
|           51 | missForest | 0.940317 | 0.0451642 |                10 | ionosphere     |            0.3 |
|           21 | imputePCA  | 0.926032 | 0.044772  |                10 | ionosphere     |            0.3 |
|           41 | mice       | 0.91754  | 0.0524537 |                10 | ionosphere     |            0.3 |
|           61 | softImpute | 0.914762 | 0.0392965 |                10 | ionosphere     |            0.3 |
|           31 | kNNimpute  | 0.911825 | 0.0470341 |                10 | ionosphere     |            0.3 |
|           11 | impDi      | 0.857619 | 0.0482733 |                10 | ionosphere     |            0.3 |
|           52 | missForest | 0.909524 | 0.052405  |                10 | seeds          |            0.3 |
|           42 | mice       | 0.9      | 0.0612707 |                10 | seeds          |            0.3 |
|           62 | softImpute | 0.9      | 0.0612707 |                10 | seeds          |            0.3 |
|           12 | impDi      | 0.890476 | 0.0504452 |                10 | seeds          |            0.3 |
|           22 | imputePCA  | 0.890476 | 0.0552144 |                10 | seeds          |            0.3 |
|           32 | kNNimpute  | 0.780952 | 0.081557  |                10 | seeds          |            0.3 |
|           23 | imputePCA  | 0.944118 | 0.0453727 |                10 | wine           |            0.3 |
|           13 | impDi      | 0.938235 | 0.0559376 |                10 | wine           |            0.3 |
|           53 | missForest | 0.93268  | 0.0572533 |                10 | wine           |            0.3 |
|           63 | softImpute | 0.89902  | 0.0936369 |                10 | wine           |            0.3 |
|           43 | mice       | 0.882353 | 0.0883495 |                10 | wine           |            0.3 |
|           33 | kNNimpute  | 0.866013 | 0.0829748 |                10 | wine           |            0.3 |